Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
soviet union, Austria,2.0,0.0,NO,V. Ivanov,62,Home Win,1958-06-11,19:00:00,Ryavallen,Borås,212390.0,unknown,Denmark
england, Austria,2.0,2.0,NO,Haynes,56,Draw,1958-06-15,19:00:00,Ryavallen,Borås,158720.0,unknown,Netherlands
england, Austria,2.0,2.0,NO,Kevan,74,Draw,1958-06-15,19:00:00,Ryavallen,Borås,158720.0,unknown,Netherlands
england, Austria,2.0,2.0,NO,Koller,15,Draw,1958-06-15,19:00:00,Ryavallen,Borås,158720.0,unknown,Netherlands
england, Austria,2.0,2.0,NO,Körner,71,Draw,1958-06-15,19:00:00,Ryavallen,Borås,158720.0,unknown,Netherlands
brazil, Soviet Union,2.0,0.0,NO,Vavá,3,Home Win,1958-06-15,19:00:00,Ullevi,Gothenburg,509280.0,Maurice Guigue,France
soviet union, England,1.0,0.0,NO,Ilyin,69,Home Win,1958-06-17,19:00:00,Ullevi,Gothenburg,231820.0,unknown,West Germany
brazil, Wales,1.0,0.0,NO,Pelé,66,Home Win,1958-06-19,19:00:00,Ullevi,Gothenburg,259230.0,unknown,Austria
france, Northern Ireland,4.0,0.0,NO,Wisnieski,44,Home Win,1958-06-19,19:00:00,Idrottsparken,Norrköping,118000.0,unknown,Spain
france, Northern Ireland,4.0,0.0,NO,Fontaine,55,Home Win,1958-06-19,19:00:00,Idrottsparken,Norrköping,118000.0,unknown,Spain
france, Northern Ireland,4.0,0.0,NO,Piantoni,68,Home Win,1958-06-19,19:00:00,Idrottsparken,Norrköping,118000.0,unknown,Spain
sweden, Soviet Union,2.0,0.0,NO,Hamrin,49,Home Win,1958-06-19,19:00:00,Råsunda Stadium,Solna,319000.0,Reginald Leafe,England
sweden, Soviet Union,2.0,0.0,NO,Simonsson,88,Home Win,1958-06-19,19:00:00,Råsunda Stadium,Solna,319000.0,Reginald Leafe,England
west germany, Yugoslavia,1.0,0.0,NO,Rahn,12,Home Win,1958-06-19,19:00:00,Malmö Stadion,Malmö,200550.0,unknown,Switzerland
brazil, France,5.0,2.0,NO,Vavá,2,Home Win,1958-06-24,19:00:00,Råsunda Stadium,Solna,271000.0,Benjamin Griffiths,Wales
brazil, France,5.0,2.0,NO,Didi,39,Home Win,1958-06-24,19:00:00,Råsunda Stadium,Solna,271000.0,Benjamin Griffiths,Wales
brazil, France,5.0,2.0,NO,Pelé,52,Home Win,1958-06-24,19:00:00,Råsunda Stadium,Solna,271000.0,Benjamin Griffiths,Wales
brazil, France,5.0,2.0,NO,Fontaine,9,Home Win,1958-06-24,19:00:00,Råsunda Stadium,Solna,271000.0,Benjamin Griffiths,Wales
brazil, France,5.0,2.0,NO,Piantoni,83,Home Win,1958-06-24,19:00:00,Råsunda Stadium,Solna,271000.0,Benjamin Griffiths,Wales
sweden, West Germany,3.0,1.0,NO,Skoglund,32,Home Win,1958-06-24,19:00:00,Ullevi,Gothenburg,494710.0,István Zsolt,Hungary
sweden, West Germany,3.0,1.0,NO,Gren,81,Home Win,1958-06-24,19:00:00,Ullevi,Gothenburg,494710.0,István Zsolt,Hungary
sweden, West Germany,3.0,1.0,NO,Hamrin,88,Home Win,1958-06-24,19:00:00,Ullevi,Gothenburg,494710.0,István Zsolt,Hungary
sweden, West Germany,3.0,1.0,NO,Schäfer,24,Home Win,1958-06-24,19:00:00,Ullevi,Gothenburg,494710.0,István Zsolt,Hungary
france, West Germany,6.0,3.0,NO,Fontaine,16,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
france, West Germany,6.0,3.0,NO,Kopa,27,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
france, West Germany,6.0,3.0,NO,pen.,50,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
france, West Germany,6.0,3.0,NO,Cieslarczyk,18,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
france, West Germany,6.0,3.0,NO,Rahn,52,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
france, West Germany,6.0,3.0,NO,Schäfer,84,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina
brazil, Sweden,5.0,2.0,NO,Vavá,9,Home Win,1958-06-29,15:00:00,Råsunda Stadium,Solna,497370.0,Maurice Guigue,France
